,EUA_xts,EUA_futures_xts,oil_xts,gas_xts,electricity_xts,coal_xts,DAX_xts,BE500_xts,Temp_xts
06/01/2013,-0.004774339,-0.004815151,0.001632803,0.009330044,0.109833439,-0.000747911,-0.001016038,-0.002645645,0.007519629
13/01/2013,-0.016222571,-0.017476478,-0.001743454,0.001680502,-0.000957399,-0.001442375,-0.000413156,-0.000155473,-0.03854679
20/01/2013,-0.023320046,-0.023572229,0.003462582,0.004950788,-0.012797449,-0.000560625,0.000156367,0.005291998,0.007972313
27/01/2013,-0.025751689,-0.026592684,-0.000998367,-0.006767366,-0.008312123,0.002128831,0.001981397,0.005445311,-0.004997222
03/02/2013,0.011190263,0.006089727,-0.000653871,0.005494204,-0.046831968,0.00132705,-0.002537281,0.004089844,0.030381106
10/02/2013,0.000434217,0.005624589,0.001840514,0.001748458,0.033711709,9.97E-05,-0.001180803,-0.001644064,-0.019370622
17/02/2013,0.019522321,0.018344075,-0.000287469,-0.004088162,0.038235181,-0.00132612,-0.000428535,-0.003320146,0.015495691
24/02/2013,-0.011104148,-0.008020097,-0.00279561,0.029375136,-0.002286624,-0.001490873,0.002216568,-0.0001353,-0.005956171
03/03/2013,-0.003098975,-0.005434045,-0.0025043,0.024405136,-0.010636926,-0.000228795,-0.000720585,-0.000141406,0.008110286
10/03/2013,-0.019434401,-0.019329935,0.002720005,-0.026160874,-0.036516879,-0.002567134,0.005244815,0.002600472,0.010947689
17/03/2013,-0.015797912,-0.017140564,0.002774919,0.014665262,-0.004912038,0.000671905,0.00064974,0.0021228,-0.019688545
24/03/2013,0.027508424,0.030930228,0.002111486,0.000212091,-0.009066303,-0.000749637,-0.002461577,-0.000471164,0.000188356
31/03/2013,0.0165319,0.017272068,0.004702737,-0.015716057,-0.04597782,-0.006224254,1.14E-06,-0.001454148,0.022860565
07/04/2013,0.008018136,0.007317987,-0.007781986,-0.007578802,0.121860142,0.000836766,-0.00410066,-0.004919844,0.000583783
14/04/2013,-0.011798699,-0.011915635,-0.006351159,-0.018096449,-0.054623529,0.000215146,0.001151429,0.00226329,0.037322224
21/04/2013,-0.067729312,-0.067004265,-0.001425578,-0.002027905,0.003050194,-0.001839156,-0.004725231,-0.004532189,-0.007677665
28/04/2013,0.01210589,0.011006205,0.008493247,0.001023888,-0.019201295,-0.001010754,0.007120291,0.005161836,0.003477409
05/05/2013,0.024550037,0.026633223,0.002726789,-0.005694746,0.016258607,0.001065186,0.004680141,0.003196446,0.017485379
12/05/2013,-0.021109655,-0.024298427,0.000434345,0.000966121,-0.023208562,-0.000190603,0.002850753,0.001750909,-0.005971621
19/05/2013,0.009972292,0.014599202,0.002813716,0.006235152,-0.02746893,0.000571049,0.002692117,0.003324675,0.010641843
26/05/2013,-0.001292834,-0.005216675,-0.003205864,-0.003061138,0.063024079,2.71E-05,-0.001348235,0.002199402,-0.014227122
02/06/2013,0.016018828,0.015889376,-0.004185564,-0.001591147,-0.048008334,-0.001280994,-0.000865735,-0.001810888,0.011540922
09/06/2013,0.005160458,0.005355539,0.002405807,-0.008246675,-0.003726514,-0.003604194,-0.000289097,-0.003204855,0.008096109
16/06/2013,0.031958489,0.030993601,0.002750472,0.000700157,-0.134639116,-0.002491874,-0.003948482,-0.003054439,0.005037108
23/06/2013,-0.013657094,-0.015552676,-0.002269958,-0.04334212,-0.014303725,-0.001313244,-0.008294069,-0.007044717,-0.001149588
30/06/2013,0.000113695,0.002712559,0.005014637,0.055795902,-0.008020157,-0.007145081,0.004567576,0.006335728,-0.005709721
07/07/2013,0.001019199,0.000335477,0.010041481,0.007856051,0.005959682,-0.003695709,-0.001102702,0.005202778,0.014395627
14/07/2013,-0.00705468,-0.007215963,0.001909899,-0.002345284,0.020992479,-0.000154792,0.005542702,0.005628023,-0.005202251
21/07/2013,0.00603548,0.004850911,0.000204796,0.001307686,0.014842308,0.000679832,0.00179048,0.003820804,0.003538836
28/07/2013,0.003591256,0.004581654,-0.004647233,0.002975761,0.010160848,-0.000463171,-0.001324857,0.000516436,0.007884515
04/08/2013,0.003069957,0.002831103,0.00284079,0.003289287,-0.005885254,-3.09E-05,0.002520202,0.003201429,-0.00248261
11/08/2013,-0.001746175,-0.000215796,-0.001410344,-0.005285616,-0.025102123,0.002149192,-0.000835023,0.000435297,-0.007437354
18/08/2013,-0.000550086,-0.001410678,0.001404422,7.75E-05,0.060724545,0.001153304,0.000385516,-0.000556259,0.002718529
25/08/2013,0.00337688,0.00323464,-0.001943665,-0.009468092,-0.034613747,-0.000848899,0.000922519,-0.001518149,-0.013874816
01/09/2013,0.002877488,0.002745307,0.004682711,0.00863873,-0.041899461,0.000334098,-0.003989407,-0.000929791,-0.000759024
08/09/2013,0.024116243,0.022944821,0.00188713,-0.001502467,0.051127356,-0.002416958,0.001372641,0.003593811,-0.0022892
15/09/2013,0.002473779,0.003692513,-0.004620255,0.00818008,-0.018746289,0.001106472,0.005126246,0.002093016,-0.005892047
22/09/2013,-0.001585361,-0.002098307,-0.006400324,-0.00468364,-0.005367484,0.001280145,0.001165879,7.00E-05,-0.001529701
29/09/2013,-0.006708992,-0.006670883,-0.002089823,-0.002671393,-0.010875017,0.00078676,-0.000529544,-0.000101625,-0.009525092
06/10/2013,-0.003381392,-0.00317266,0.000683333,-0.001833338,0.057443874,0.002927136,-0.000244362,-0.00031032,-0.003304954
13/10/2013,-0.008316526,-0.008354327,-0.001388895,0.009875082,-0.032920408,0.000147748,0.00201361,-0.000542172,-0.003807245
20/10/2013,0.000703484,0.000100005,-0.004803668,-0.001894891,0.00265698,0.000736455,0.00231237,-0.000152648,0.000693855
27/10/2013,0.003270546,0.003651815,-0.003103129,-0.029525241,-0.114967065,0.004369237,0.001833012,-0.003866734,0.011965565
03/11/2013,-0.008893556,-0.009571029,-0.002599924,0.027877186,0.050558185,0.00093733,0.000736429,0.006307885,-0.017711693
10/11/2013,-0.001362051,0,0.001729576,-0.002772524,0.051516825,0.000649673,0.001112413,-0.002219782,-0.009826871
17/11/2013,-0.004382793,-0.006283959,-0.003659367,0.003410097,0.014106779,0.000309672,0.001693851,0.001239683,-0.01321978
24/11/2013,0.000433558,0.001084722,0.00133038,0.00269538,0.002273636,-0.000337857,0.001027604,0.001214194,-0.004316035
01/12/2013,0.001078172,0.002357786,-0.001772001,0.007389408,0.033050765,0.000871169,0.001990256,0.001566112,-0.007787187
08/12/2013,0.012734205,0.011728718,0.004389459,-0.006606594,-0.056452158,0.000531328,-0.00331195,-0.004427776,-0.014078256
15/12/2013,-0.004795655,-0.001773422,-0.000604446,0.004864592,-0.007695188,0.000445906,-0.001192749,-0.002937315,0.005038147
22/12/2013,0.00241795,0.001969117,0.003161642,-0.004600513,-0.058880986,0.000472255,0.005355982,0.006512083,0.007253701
29/12/2013,0.00432338,0.004563956,-0.000736785,-0.004107061,0.048936415,0.002239406,0.001061038,0.001871377,-0.007982265
05/01/2014,-0.007159267,-0.006993724,-0.007231909,-0.00240238,-0.044488157,-0.00140557,-0.002018414,-3.40E-05,0.008628312
12/01/2014,-0.003405207,-0.003833967,-0.002616684,-0.00056747,0.091071429,-0.003988015,0.001018538,0.000906458,-0.013415185
19/01/2014,0.012299602,0.011584051,0.00515906,-0.00585488,0.020819437,-0.000656553,0.003375022,-0.001588875,-0.006489521
26/01/2014,0.01034712,0.010101082,0.000564156,0.005424626,-0.031422012,-0.001524514,-0.005410562,-0.003993469,-0.027205176
02/02/2014,0.009980836,0.00984441,0.002874297,-0.010196454,0.026174282,-0.003661327,-0.002105318,-0.004092809,0.019737392
09/02/2014,0.015946226,0.015746871,0.003390101,-0.002319027,-0.019753864,-0.004184715,0.001039374,0.001890225,0.024760602
16/02/2014,0.006608548,0.007162259,0.000993157,-0.004554049,-0.006714211,-0.000827272,0.005499533,0.002999267,0.001444733
23/02/2014,0.006519855,0.006486863,0.001631572,-0.005822787,-0.034418306,-0.000153726,0.000486816,-0.002273138,0.005072703
02/03/2014,-0.005953242,-0.00087047,0.001868185,-0.000200971,0.031221266,-0.000771119,-0.003305226,-0.003591752,-0.006221781
09/03/2014,0.00335328,-0.002849097,-0.004713834,0.004977339,-0.013762432,-0.007101529,-0.002680559,0.002950641,0.015774202
16/03/2014,-0.018097714,-0.018057369,-0.005791081,-0.000494089,-0.179725348,0.003384175,-0.005177454,-0.006187057,0.002712218
23/03/2014,-0.001510888,-0.001959662,0.002438635,-0.007038867,0.047807541,-0.000127779,0.001566404,0.001535741,-0.002767176
30/03/2014,-0.038902645,-0.039371522,0.003791444,-0.013412981,-0.00301577,-3.20E-05,0.004955877,0.004131738,0.010822261
06/04/2014,0.0103242,0.009939278,-0.000925483,-0.003289245,0.002440737,-0.001930966,9.19E-05,-0.00034467,0.00635525
13/04/2014,0.0103565,0.011008802,0.003292628,0.003505305,-0.063165921,0.002026833,-0.003646952,-0.005361068,-0.004044308
20/04/2014,0.008890193,0.008708189,0.001043104,0.003023544,-0.013926897,-0.000544096,0.002920532,-0.002977955,0.006190498
27/04/2014,-0.011548503,-0.012345741,-0.005430727,-0.005241153,0.091095654,-0.001774646,-0.001394485,-0.004632059,0.003114098
04/05/2014,0.001564313,0.00164837,-0.001976472,-0.00864801,-0.017857233,0.000129811,0.001610349,-0.001993152,-0.009704809
11/05/2014,0.00140441,0.00076336,0.002492072,-0.001308839,-0.099785234,0.000272294,0.000901894,0.002589996,0.026318172
18/05/2014,-0.016092443,-0.015081511,0.003366356,-0.007705194,0.047084894,0.000739444,-0.000189821,-0.001999648,0.007575372
25/05/2014,0.011230703,0.010135962,0.003404033,-0.00325205,-0.015256564,0,0.002958612,0.003481227,0.009194752
01/06/2014,0.001466738,0,-0.002198159,-0.001200286,0.003238468,-0.002948285,0.001394306,0.001193575,-0.008492274
08/06/2014,0.00831472,0.009856124,0.001839859,-0.024330231,-0.050628769,-0.001150357,0.00076833,0.004202966,0.020445121
15/06/2014,0.004587255,0.004831482,0.004664737,0.017739146,0.031503246,0.000461255,-0.001549189,-0.000945847,-0.0142305
22/06/2014,0.002343345,0.001837954,-0.000866152,-0.021868454,0.009139825,-0.000758564,0.000711768,0.001302389,0.001268488
29/06/2014,0.001568514,0.001239728,-0.00225343,0.015011484,0.00074276,-0.001262173,-0.001675322,-0.001145474,0.000918268
06/07/2014,-0.006122787,-0.004344529,-0.00179025,-0.018586376,-0.004049108,-0.002864315,0.001637674,0.002756083,0.010711498
13/07/2014,0.006614551,0.005899563,-0.003926813,0.003997929,-0.007832133,-0.000819255,-0.002849129,-0.003491584,-0.012008519
20/07/2014,0.004668423,0.004723642,0.005426684,0.008716557,0.008550116,-0.001065206,-0.001415606,-0.00289107,0.015957613
27/07/2014,0.003365183,0.003346847,-0.002300527,0.00409155,0.00854414,0.001372977,-0.000513089,-0.001130489,0.000349685
03/08/2014,0.002073212,0.001301843,-0.005053455,-0.014187582,-0.010923024,-0.000994091,-0.006703147,0.00261518,-0.001106618
10/08/2014,-0.005359227,-0.004806282,-4.56E-05,0.005895202,-0.050678456,0.002252453,-0.000768095,-0.000951272,0.001144813
17/08/2014,0.011098996,0.010952817,-0.00104224,0.039958987,-0.029325195,-0.000189708,-0.000680713,-0.000494216,-0.018077638
24/08/2014,-0.000601505,-0.000675449,-0.003221928,-0.00309512,0.073028038,-0.001980365,0.003964463,0.005103729,-0.002358464
31/08/2014,0.001349841,0.001422221,0.002313973,0.007862578,-0.009734227,-0.002147747,0.000346051,0.001189246,0.00412788
07/09/2014,-0.002864777,-0.003086888,-0.000228723,0.003110037,0.010130722,-0.00414313,0.004134855,0.003641283,0.003492164
14/09/2014,-0.006943373,-0.006859708,-0.000325483,0.001414923,0.003597031,-0.00043181,-0.001436054,0.001335989,-0.006606273
21/09/2014,0.001114833,0.000955037,-0.000113096,0.004085153,-0.034360491,0.000216068,0.001608084,0.001029093,6.20E-05
28/09/2014,-0.004676329,-0.004840344,0.00524671,0.002338615,0.048116563,-0.002248623,-0.004769246,0.002063355,-0.008499301
05/10/2014,-0.004242358,-0.003068747,-0.004894411,-0.002364433,-0.022431211,-0.000769726,-0.003667529,-0.002343873,-0.009978744
12/10/2014,0.009630798,0.009093979,-0.008127221,0.007796349,0.010783063,-0.000995781,-0.006370251,-0.010690268,0.005198903
19/10/2014,0.001725917,0.001953232,-0.006616271,-0.033880161,-0.038098264,-0.000816541,-0.000693313,-0.002603653,-0.001057625
26/10/2014,0.004905448,0.004431219,-0.001919265,0.030857445,0.02007825,0.000853546,0.002730417,0.002400601,-0.021783161
02/11/2014,0.00349811,0.003859233,-0.000762984,0.001786772,-0.04170295,-0.002275022,0.005426124,0.007057248,-0.001048806
09/11/2014,0.005056139,0.005177071,-0.002001521,0.009546696,0.071511305,-0.001359835,0.000846001,0.001912817,0.001240122
16/11/2014,0.001693142,0.001754593,-0.004410451,-0.001989912,0.009519429,0.001435003,-0.000664556,0.001503885,-0.006111467
23/11/2014,0.004894499,0.004463576,0.001257423,0.007006405,-0.012171228,0.000225268,0.007188144,0.004562487,-0.01033381
30/11/2014,0.000608623,-6.76E-05,-0.016517393,0.003411041,-0.002520227,0.000337237,0.002915751,0.002271197,-0.010580665
07/12/2014,-0.00812183,-0.007498598,-0.006884506,-0.00752308,0.008016083,-0.002796764,0.000995923,0.003548029,-0.002446377
14/12/2014,0.002828947,0.002963069,-0.019238266,-0.001745041,-0.007074801,0.001367428,-0.009078348,-0.007417431,0.002176617
21/12/2014,0.005697196,0.006015926,7.33E-05,-0.007087637,-0.234279573,-7.56E-05,0.006210261,0.006405699,0.001515587
28/12/2014,0.003259746,0.003144937,-0.00355292,0.006031846,0.232317618,-0.001024886,0.001254701,0.002698946,-0.046265961
04/01/2015,-0.005977034,-0.005984595,-0.005718554,-0.014305429,-0.012174344,-0.002847234,-0.005216764,-0.003007229,0.037582041
11/01/2015,-0.004883288,-0.005003291,-0.01044334,-0.006042878,-0.066206292,-0.002588205,0.002472541,-0.000931937,0.007438093
18/01/2015,0.009870317,0.009771234,0.005537037,-0.004481051,0.090743748,0.00137837,0.00687477,0.004391431,-0.012190643
25/01/2015,-0.007268368,-0.007386719,-0.00342431,-0.004702804,-0.018149104,0.002986399,0.007241172,0.010420589,-0.002912203
01/02/2015,0.005602959,0.005324485,0.010999262,0.016751607,0.017476517,0.004533129,0.000460441,-0.005275603,-0.001743757
08/02/2015,-0.003596214,-0.003321621,0.009290394,-0.000341253,-0.061473015,0.009040733,-0.000783457,-0.00185616,-0.006797932
15/02/2015,0.014120834,0.01384624,0.000774018,0.009155713,0.036287423,0.0040942,0.002798392,0.004111095,0.015025377
22/02/2015,-0.001879726,-0.000999442,-0.008699645,0.000200142,-0.016384549,0.001283056,0.00217186,0.00309274,0.006632239
01/03/2015,-0.010941464,-0.011617618,0.001835403,-0.004040641,-0.024217856,-0.000235488,0.003849673,0.005698963,0.012263366
08/03/2015,-0.005483167,-0.005970604,0.004861672,-0.014386457,0.053657799,-0.011311273,0.002042504,0.000954123,0.001620965
15/03/2015,-0.005334337,-0.004977602,-0.013199533,0.003905283,-0.033278945,-0.001575714,0.006129248,0.002941375,-0.004114771
22/03/2015,0.011564561,0.011219926,0.003737608,-0.006198974,0.041375101,-0.003733088,-0.001609606,-0.000658404,-0.002909727
29/03/2015,-0.003705436,-0.002671585,0.006348807,0.005185798,-0.13467563,-0.008693759,0.000832044,-0.006640572,0.017052328
05/04/2015,0.005455828,0.005693353,0.006002434,0.00147295,0.06803069,-0.009043035,0.000565127,-3.85E-05,-0.010551294
12/04/2015,-0.003878107,-0.005278346,0.007886814,-0.000197836,-0.018559572,-0.003446797,0.005134749,0.00426068,0.034071172
19/04/2015,0.003293682,0.002809946,0.009172971,-0.007008022,0.062069162,0.006819139,-0.006224164,-0.006294152,-0.016050989
26/04/2015,0.003881135,0.006241035,0.000500822,0.002013068,0.009917292,0.007375169,0.001668181,0.010631378,0.020435933
03/05/2015,0.006611204,0.003703288,0.001248933,-0.006249148,-0.018193359,0.003683588,-0.004667839,-0.007726185,0.002174236
10/05/2015,0.000723011,0.001150618,0.00053065,-0.007010662,-0.007657016,-0.001191604,0.001314049,0.000168988,0.008883325
17/05/2015,-0.000994296,0.000814003,-0.001988805,0.00752944,0.004046123,-0.001904013,-0.001725326,-0.000239913,-0.002831424
24/05/2015,-0.005517101,-0.005570495,0.00373319,-0.002421285,-0.035144197,-0.002048731,0.002147611,0.003907944,0.001600398
31/05/2015,0.000163996,-0.00140265,0.003612174,-0.001424349,0.041461406,-0.004474098,-0.003597182,0.000470477,0.004154417
07/06/2015,0.003529115,0.003497131,-0.007582244,0.004080821,-0.003682089,-0.000122888,-0.004052456,-0.006196253,0.014025135
14/06/2015,0.0020007,0.002158771,0.001839135,4.70E-05,0.005757095,0.005072384,-0.000689908,-0.001315949,-0.000760575
21/06/2015,-0.001777011,-0.00209481,-0.000993636,-0.007642996,0.005921251,1.27E-16,0.003382505,0.001676133,-0.010393534
28/06/2015,-0.000832615,-0.000191969,-9.97E-05,0.00093865,0.011827423,0.000394961,-0.001277189,-0.002981797,0.011581964
05/07/2015,-0.000579282,-0.000706103,-0.011607123,0.003444383,0.00363166,-0.000672084,-0.003519829,-0.00319496,0.01382814
12/07/2015,0.005875564,0.006109436,-0.003072957,0.002383391,0.014402256,0.000593179,0.006150503,0.002271576,-0.010710261
19/07/2015,0.00330391,0.002929254,-0.002760807,-0.003532007,0.002727748,0.000315358,0.003541176,0.001123088,0.008332336
26/07/2015,0.002041709,0.002217672,-0.010922302,-0.002512591,-0.042092724,-0.000236453,-0.007017173,-0.003785214,-0.011144564
02/08/2015,-0.001377958,-0.001614898,-0.004369679,-0.003000075,-0.010378599,-0.002868394,0.003109012,0.003219131,0.004200648
09/08/2015,-0.001148424,-0.001086831,-0.00422531,-0.004304699,0.024365391,0.00219631,0.002089953,-0.000487613,0.007119649
16/08/2015,0.007333682,0.007151737,-0.009546787,0.001723118,0.023518541,-0.002075636,-0.00775976,-0.007483957,-0.007500541
23/08/2015,-0.001565097,-0.001273968,-0.015634688,-0.015098232,-0.038426698,-0.001495477,-0.015815855,-0.013832832,-0.005313836
